trace_set,is_anomalous,class,fault_category,fault_name,workload,severity,delay_ms,tier,n_traces,notes
AN_Data_corruptBlk_r_00FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,0,,3,345,
AN_Data_corruptBlk_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,1,,3,343,
AN_Data_corruptBlk_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,2,,3,309,
AN_Data_corruptBlk_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,3,,3,330,
AN_Data_corruptBlk_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,4,,3,332,
AN_Data_corruptBlk_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,5,,3,324,
AN_Data_corruptBlk_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,10,,3,327,
AN_Data_corruptBlk_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,15,,3,346,
AN_Data_corruptBlk_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,20,,3,362,
AN_Data_corruptBlk_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,25,,3,381,
AN_Data_corruptBlk_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,30,,3,385,
AN_Data_corruptBlk_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,35,,3,388,
AN_Data_corruptBlk_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,40,,3,394,
AN_Data_corruptBlk_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,45,,3,382,
AN_Data_corruptBlk_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptBlk,r,50,,3,406,
AN_Data_corruptMeta_r_00FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,0,,3,354,
AN_Data_corruptMeta_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,1,,3,329,
AN_Data_corruptMeta_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,2,,3,338,
AN_Data_corruptMeta_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,3,,3,335,
AN_Data_corruptMeta_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,4,,3,330,
AN_Data_corruptMeta_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,5,,3,340,
AN_Data_corruptMeta_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,10,,3,320,
AN_Data_corruptMeta_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,15,,3,333,
AN_Data_corruptMeta_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,20,,3,351,
AN_Data_corruptMeta_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,25,,3,359,
AN_Data_corruptMeta_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,30,,3,377,
AN_Data_corruptMeta_r_35FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,35,,3,367,
AN_Data_corruptMeta_r_40FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,40,,3,363,
AN_Data_corruptMeta_r_45FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,45,,3,398,
AN_Data_corruptMeta_r_50FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,corruptMeta,r,50,,3,391,
AN_Data_cutBlk_r_01FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,1,,3,339,
AN_Data_cutBlk_r_02FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,2,,3,330,
AN_Data_cutBlk_r_03FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,3,,3,337,
AN_Data_cutBlk_r_04FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,4,,3,330,
AN_Data_cutBlk_r_05FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,5,,3,339,
AN_Data_cutBlk_r_10FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,10,,3,350,
AN_Data_cutBlk_r_15FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,15,,3,337,
AN_Data_cutBlk_r_20FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,20,,3,354,
AN_Data_cutBlk_r_25FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,25,,3,357,
AN_Data_cutBlk_r_30FDN_30C_1to19B_0to120INT_15RT_5WT.sql,True,AN,Data,cutBlk,r,30,,3,378,
